订单编号,订单日期,供应商,产品类别,产品名称,数量,单价,总金额,区域,采购员,订单状态
PO-2025-00046,2025-05-09,苏州新材料科技,原材料,硅胶,185,46.94,8683.9,西北,陈静,已完成
PO-2025-00047,2025-03-08,长沙恒达电子科技,电子元器件,电阻器,334,87.6,29258.4,华中,张明,已完成
PO-2025-00048,2025-02-27,重庆办公用品,办公用品,墨盒,92,137.58,12657.36,西南,赵磊,已完成
PO-2025-00049,2025-03-17,深圳精密机械制造,机械零件,弹簧,472,37.47,17685.84,华东,杨洋,已完成
PO-2025-00050,2025-04-18,武汉工具设备,工具耗材,螺丝刀,31,65.11,2018.41,东北,张明,待审批
PO-2025-00051,2025-03-21,重庆办公用品,办公用品,文件夹,351,23.04,8087.04,东北,赵磊,已取消
PO-2025-00052,2025-06-20,苏州新材料科技,原材料,铝材,419,171.26,71757.94,华北,张明,已完成
PO-2025-00053,2025-12-26,武汉工具设备,工具耗材,切割片,452,148.34,67049.68,华南,陈静,已完成
PO-2025-00054,2025-08-24,深圳精密机械制造,机械零件,联轴器,456,13.81,6297.36,华北,刘强,已完成
PO-2025-00055,2025-04-09,广州包装制品,包装材料,缠绕膜,430,136.08,58514.4,华南,刘强,已完成
PO-2025-00056,2025-09-18,武汉工具设备,工具耗材,电钻头,152,173.55,26379.6,东北,陈静,已完成
PO-2025-00057,2025-05-14,武汉工具设备,工具耗材,切割片,441,109.56,48315.96,华东,李华,待审批
PO-2025-00058,2025-06-10,上海自动化设备,电子元器件,继电器,145,11.84,1716.8,西南,赵磊,已完成
PO-2025-00059,2025-12-29,武汉工具设备,工具耗材,测量尺,271,27.55,7466.05,西南,刘强,已完成
PO-2025-00060,2025-02-05,武汉工具设备,工具耗材,扳手,276,185.49,51195.24,西南,刘强,已完成
PO-2025-00061,2025-06-03,重庆办公用品,办公用品,墨盒,329,60.92,20042.68,东北,李华,处理中
PO-2025-00062,2025-04-09,杭州精密五金,机械零件,螺栓,351,91.41,32084.91,华北,陈静,已完成
PO-2025-00063,2025-06-04,武汉工具设备,工具耗材,切割片,491,78.93,38754.63,西北,王芳,已完成
PO-2025-00064,2025-10-24,武汉工具设备,工具耗材,测量尺,436,5.08,2214.88,华中,刘强,已完成
PO-2025-00065,2025-03-28,南京化工材料,原材料,硅胶,174,107.15,18644.1,华北,刘强,已完成
PO-2025-00066,2025-05-01,重庆办公用品,办公用品,A4纸,155,97.07,15045.85,西北,杨洋,已完成
PO-2025-00067,2025-09-01,重庆办公用品,办公用品,墨盒,125,149.3,18662.5,华南,张明,已完成
PO-2025-00068,2025-07-16,南京化工材料,原材料,钢材,243,96.11,23354.73,西北,刘强,处理中
PO-2025-00069,2025-02-24,成都电气元件,电子元器件,传感器,134,38.84,5204.56,西北,张明,待审批
PO-2025-00070,2025-05-08,武汉工具设备,工具耗材,螺丝刀,100,161.8,16180.0,西北,周婷,已完成
PO-2025-00071,2025-08-15,深圳精密机械制造,机械零件,联轴器,78,177.4,13837.2,西北,杨洋,已取消
PO-2025-00072,2025-09-01,南京化工材料,原材料,硅胶,466,115.84,53981.44,东北,周婷,待审批
PO-2025-00073,2025-09-24,成都电气元件,电子元器件,集成电路,394,61.19,24108.86,西北,陈静,处理中
PO-2025-00074,2025-06-21,成都电气元件,电子元器件,连接器,132,67.33,8887.56,华东,陈静,已完成
PO-2025-00075,2025-12-28,广州包装制品,包装材料,封箱胶带,51,27.19,1386.69,华南,赵磊,已完成
PO-2025-00076,2025-04-16,苏州新材料科技,原材料,钢材,222,88.71,19693.62,西南,周婷,已完成
PO-2025-00077,2025-10-22,武汉工具设备,工具耗材,焊锡丝,473,155.11,73367.03,西北,张明,待审批
PO-2025-00078,2025-08-03,武汉工具设备,工具耗材,焊锡丝,13,188.83,2454.79,华中,赵磊,待审批
PO-2025-00079,2025-05-20,杭州精密五金,机械零件,弹簧,386,120.42,46482.12,西南,刘强,已完成
PO-2025-00080,2025-08-28,武汉工具设备,工具耗材,焊锡丝,24,80.83,1939.92,西北,赵磊,处理中
PO-2025-00081,2025-08-08,上海自动化设备,电子元器件,继电器,283,9.75,2759.25,华北,张明,已完成
PO-2025-00082,2025-06-17,上海自动化设备,电子元器件,传感器,103,14.07,1449.21,华北,杨洋,已完成
PO-2025-00083,2025-02-11,广州包装制品,包装材料,标签纸,152,128.9,19592.8,东北,赵磊,已完成
PO-2025-00084,2025-11-30,成都电气元件,电子元器件,电阻器,393,126.71,49797.03,华中,刘强,已完成
PO-2025-00085,2025-05-03,长沙恒达电子科技,电子元器件,电阻器,496,53.22,26397.12,,张明,已完成
PO-2025-00086,2025-07-08,上海自动化设备,电子元器件,传感器,352,25.94,9130.88,华南,周婷,已完成
PO-2025-00087,2025-03-25,上海自动化设备,电子元器件,继电器,320,183.28,58649.6,西北,李华,处理中
PO-2025-00088,2025-04-12,北京信达办公,办公用品,A4纸,306,9.01,2757.06,华中,赵磊,已完成
PO-2025-00089,2025-06-04,深圳精密机械制造,机械零件,导轨,363,183.66,66668.58,华南,李华,已完成
PO-2025-00090,2025-08-08,重庆办公用品,办公用品,笔记本,422,26.32,11107.04,西南,张明,已完成
PO-2025-00091,2025-09-08,重庆办公用品,办公用品,墨盒,45,95.37,4291.65,华中,张明,处理中
PO-2025-00092,2025-08-11,深圳精密机械制造,机械零件,联轴器,195,141.83,27656.85,东北,周婷,处理中
PO-2025-00093,2025-10-31,上海自动化设备,电子元器件,连接器,277,183.6,50857.2,华中,周婷,已完成
PO-2025-00094,2025-05-05,北京信达办公,办公用品,墨盒,446,47.58,21220.68,华东,陈静,待审批
PO-2025-00095,2025-06-16,成都电气元件,电子元器件,继电器,322,155.59,50099.98,华中,张明,已完成
PO-2025-00096,2025-11-02,上海自动化设备,电子元器件,传感器,118,70.48,8316.64,华中,杨洋,已完成
PO-2025-00097,2025-07-28,西安包装材料,包装材料,缠绕膜,294,6.14,1805.16,华南,李华,已完成
PO-2025-00098,2025-01-09,成都电气元件,电子元器件,继电器,398,59.64,23736.72,华北,周婷,已完成
PO-2025-00099,2025-07-08,深圳精密机械制造,机械零件,螺栓,123,92.24,11345.52,华南,陈静,已完成
PO-2025-00100,2025-08-21,成都电气元件,电子元器件,继电器,281,82.84,23278.04,西北,杨洋,已完成
PO-2025-00101,2025-10-02,北京信达办公,办公用品,墨盒,138,44.96,6204.48,西北,刘强,已完成
PO-2025-00102,2025-09-26,西安包装材料,包装材料,泡沫,108,41.53,4485.24,华北,陈静,处理中
PO-2025-00103,2025-06-04,南京化工材料,原材料,铜线,61,187.45,11434.45,华中,刘强,已完成
PO-2025-00104,2025-12-24,长沙恒达电子科技,电子元器件,连接器,283,29.68,8399.44,华东,张明,已完成
PO-2025-00105,2025-08-29,上海自动化设备,电子元器件,连接器,454,144.2,65466.8,华东,张明,已完成
PO-2025-00106,2025-09-02,成都电气元件,电子元器件,传感器,184,47.09,8664.56,华东,陈静,待审批
PO-2025-00107,2025-10-16,深圳精密机械制造,机械零件,轴承,215,110.98,23860.7,西南,张明,已完成
PO-2025-00108,2025-11-13,北京信达办公,办公用品,A4纸,137,25.29,3464.73,东北,赵磊,已完成
PO-2025-00109,2025-08-08,苏州新材料科技,原材料,橡胶,204,97.49,19887.96,华北,陈静,待审批
PO-2025-00110,2025-04-17,北京信达办公,办公用品,笔记本,327,15.07,4927.89,西北,李华,待审批
PO-2025-00111,2025-02-08,重庆办公用品,办公用品,文件夹,145,123.08,17846.6,华南,刘强,已完成
PO-2025-00112,2025-04-29,上海自动化设备,电子元器件,电阻器,219,88.21,19317.99,西南,周婷,已完成
PO-2025-00113,2025-05-16,北京信达办公,办公用品,订书机,154,127.87,19691.98,华北,李华,已完成
PO-2025-00114,2025-04-26,重庆办公用品,办公用品,笔记本,348,148.82,51789.36,华南,赵磊,已完成
PO-2025-00115,2025-06-07,重庆办公用品,办公用品,文件夹,475,52.25,24818.75,华南,李华,已完成
PO-2025-00116,2025-12-19,南京化工材料,原材料,硅胶,432,129.91,56121.12,华中,周婷,已完成
PO-2025-00117,2025-11-03,北京信达办公,办公用品,订书机,216,169.94,36707.04,西南,周婷,已完成
PO-2025-00118,2025-12-12,长沙恒达电子科技,电子元器件,传感器,386,67.85,26190.1,华中,张明,已完成
PO-2025-00119,2025-03-31,南京化工材料,原材料,橡胶,-496,10.13,5024.48,东北,陈静,已完成
PO-2025-00120,2025-08-12,成都电气元件,电子元器件,继电器,343,104.92,35987.56,华中,王芳,已取消
PO-2025-00121,2025-02-23,重庆办公用品,办公用品,笔,56,88.92,4979.52,华北,杨洋,已完成
PO-2025-00122,2025-10-09,上海自动化设备,电子元器件,集成电路,220,133.25,29315.0,华中,赵磊,处理中
PO-2025-00123,2025-07-26,长沙恒达电子科技,电子元器件,传感器,55,66.33,3648.15,华中,李华,已取消
PO-2025-00124,2025-09-23,杭州精密五金,机械零件,轴承,346,188.49,65217.54,华北,赵磊,已完成
PO-2025-00125,2025-10-09,广州包装制品,包装材料,封箱胶带,397,86.88,34491.36,华北,张明,已完成
PO-2025-00126,2025-11-19,上海自动化设备,电子元器件,集成电路,234,167.93,39295.62,华北,李华,已完成
PO-2025-00127,2025-02-17,南京化工材料,原材料,铝材,373,40.19,14990.87,西南,张明,已完成
PO-2025-00128,2025-05-30,苏州新材料科技,原材料,钢材,246,199.16,48993.36,西北,王芳,已完成
PO-2025-00129,2025-10-10,杭州精密五金,机械零件,弹簧,149,92.9,13842.1,华北,周婷,已完成
PO-2025-00130,2025-05-22,上海自动化设备,电子元器件,传感器,107,175.53,18781.71,西南,王芳,待审批
PO-2025-00131,2025-06-02,武汉工具设备,工具耗材,电钻头,488,158.6,77396.8,华中,张明,已完成
PO-2025-00132,2025-06-26,南京化工材料,原材料,橡胶,347,112.54,39051.38,华南,周婷,已完成
PO-2025-00133,2025-12-24,广州包装制品,包装材料,封箱胶带,400,94.32,37728.0,华北,杨洋,待审批
PO-2025-00134,2025-08-31,苏州新材料科技,原材料,橡胶,206,53.07,10932.42,东北,赵磊,已完成
PO-2025-00135,2025-01-19,西安包装材料,包装材料,标签纸,207,174.01,36020.07,东北,王芳,已完成
PO-2025-00136,2025-08-22,上海自动化设备,电子元器件,继电器,312,66.25,20670.0,华东,周婷,已完成
PO-2025-00137,2025-05-16,长沙恒达电子科技,电子元器件,连接器,83,84.95,7050.85,西北,王芳,已完成
PO-2025-00138,2025-10-01,广州包装制品,包装材料,封箱胶带,364,70.13,25527.32,华东,杨洋,待审批
PO-2025-00139,2025-01-19,武汉工具设备,工具耗材,电钻头,330,145.15,47899.5,东北,周婷,待审批
PO-2025-00140,2025-08-11,南京化工材料,原材料,钢材,130,143.45,18648.5,华中,刘强,处理中
PO-2025-00141,2025-01-15,深圳精密机械制造,机械零件,弹簧,370,192.67,71287.9,华北,王芳,已完成
PO-2025-00142,2025-05-06,长沙恒达电子科技,电子元器件,集成电路,417,15.94,6646.98,华中,杨洋,已完成
PO-2025-00143,2025-11-09,杭州精密五金,机械零件,联轴器,299,148.99,44548.01,华南,王芳,已完成
PO-2025-00144,2025-11-23,武汉工具设备,工具耗材,测量尺,359,51.96,18653.64,西南,王芳,已完成
PO-2025-00145,2025-12-13,北京信达办公,办公用品,笔,140,121.53,17014.2,东北,周婷,待审批
PO-2025-00146,2025-08-06,杭州精密五金,机械零件,齿轮,47,98.43,4626.21,华中,陈静,已完成
PO-2025-00147,2025-02-24,西安包装材料,包装材料,缠绕膜,243,149.45,36316.35,华南,赵磊,待审批
PO-2025-00148,2025-12-04,苏州新材料科技,原材料,塑料颗粒,302,78.75,23782.5,华中,陈静,已完成
PO-2025-00149,2025-09-12,武汉工具设备,工具耗材,电钻头,14,115.36,1615.04,西北,张明,待审批
PO-2025-00150,2025-12-14,北京信达办公,办公用品,文件夹,320,145.24,46476.8,华南,刘强,已完成
PO-2025-00151,2025-11-27,西安包装材料,包装材料,珍珠棉,358,148.26,53077.08,西北,李华,待审批
PO-2025-00152,2025-02-16,长沙恒达电子科技,电子元器件,集成电路,413,90.96,37566.48,西南,杨洋,处理中
PO-2025-00153,2025-07-07,北京信达办公,办公用品,墨盒,392,77.42,30348.64,华南,王芳,处理中
PO-2025-00154,2025-09-04,杭州精密五金,机械零件,导轨,477,62.79,29950.83,华南,陈静,待审批
PO-2025-00155,2025-03-14,北京信达办公,办公用品,订书机,455,63.94,29092.7,华东,周婷,已取消
PO-2025-00156,2025-07-22,苏州新材料科技,原材料,硅胶,380,143.33,54465.4,华北,杨洋,已完成
PO-2025-00157,2025-11-23,长沙恒达电子科技,电子元器件,集成电路,284,29.1,8264.4,华中,陈静,已完成
PO-2025-00158,2025-04-24,广州包装制品,包装材料,纸箱,355,43.01,15268.55,华东,杨洋,待审批
PO-2025-00159,2025-03-01,重庆办公用品,办公用品,A4纸,335,152.4,51054.0,西北,陈静,已完成
PO-2025-00160,2025-10-03,上海自动化设备,电子元器件,电阻器,494,11.64,5750.16,华北,李华,已完成
PO-2025-00161,2025-03-21,上海自动化设备,电子元器件,传感器,242,73.48,17782.16,西北,赵磊,已完成
PO-2025-00162,2025-05-24,武汉工具设备,工具耗材,切割片,60,167.57,10054.2,西南,赵磊,待审批
PO-2025-00163,2025-02-20,长沙恒达电子科技,电子元器件,连接器,199,47.37,9426.63,华北,刘强,待审批
PO-2025-00164,2025-05-22,重庆办公用品,办公用品,墨盒,288,166.36,47911.68,西北,杨洋,已完成
PO-2025-00165,2025-11-25,苏州新材料科技,原材料,钢材,495,178.88,88545.6,华北,李华,已完成
PO-2025-00166,2025-10-17,重庆办公用品,办公用品,笔记本,20,13.67,273.4,华中,刘强,已取消
PO-2025-00167,2025-04-30,苏州新材料科技,原材料,钢材,434,161.92,70273.28,华南,刘强,处理中
PO-2025-00168,2025-03-16,广州包装制品,包装材料,泡沫,413,153.51,63399.63,华东,陈静,待审批
PO-2025-00169,2025-07-03,上海自动化设备,电子元器件,继电器,138,152.67,21068.46,华东,张明,已完成
PO-2025-00170,2025-08-04,苏州新材料科技,原材料,橡胶,175,8.48,1484.0,华中,张明,已完成
PO-2025-00171,2025-02-25,杭州精密五金,机械零件,轴承,391,18.79,7346.89,华北,杨洋,已完成
PO-2025-00172,2025-01-16,成都电气元件,电子元器件,继电器,123,217.76,26784.48,华东,陈静,已完成
PO-2025-00173,2025-08-16,长沙恒达电子科技,电子元器件,传感器,443,83.32,36910.76,西北,李华,已完成
PO-2025-00174,2025-11-21,深圳精密机械制造,机械零件,轴承,174,135.98,23660.52,华东,王芳,已完成
PO-2025-00175,2025-11-06,南京化工材料,原材料,橡胶,374,76.62,28655.88,西南,陈静,已完成
PO-2025-00176,2025-04-27,武汉工具设备,工具耗材,扳手,416,141.85,59009.6,东北,刘强,已完成
PO-2025-00177,2025-06-10,武汉工具设备,工具耗材,电钻头,433,93.43,40455.19,华北,李华,已完成
PO-2025-00178,2025-02-13,重庆办公用品,办公用品,墨盒,201,175.67,35309.67,西北,周婷,已完成
PO-2025-00179,2025-10-28,深圳精密机械制造,机械零件,联轴器,59,165.21,9747.39,华中,王芳,已完成
PO-2025-00180,2025-08-05,杭州精密五金,机械零件,导轨,178,146.5,26077.0,华北,杨洋,待审批
PO-2025-00181,2025-04-19,西安包装材料,包装材料,纸箱,157,107.43,16866.51,华中,李华,已完成
PO-2025-00182,2025-07-08,上海自动化设备,电子元器件,连接器,256,46.29,11850.24,华东,杨洋,处理中
PO-2025-00183,2025-12-03,深圳精密机械制造,机械零件,螺栓,303,54.01,16365.03,华北,张明,已完成
PO-2025-00184,2025-06-29,西安包装材料,包装材料,缠绕膜,24,35.36,848.64,西北,陈静,待审批
PO-2025-00185,2025-11-21,长沙恒达电子科技,电子元器件,电容器,455,32.93,14983.15,西北,赵磊,已完成
PO-2025-00186,2025-03-22,长沙恒达电子科技,电子元器件,电阻器,392,108.44,42508.48,华北,赵磊,已完成
PO-2025-00187,2025-03-21,广州包装制品,包装材料,缠绕膜,379,58.02,21989.58,西南,李华,待审批
PO-2025-00188,2025-09-06,上海自动化设备,电子元器件,继电器,35,129.6,4536.0,华中,周婷,已完成
PO-2025-00189,2025-02-26,南京化工材料,原材料,塑料颗粒,222,65.26,14487.72,东北,李华,已完成
PO-2025-00190,2025-07-22,北京信达办公,办公用品,订书机,357,108.6,38770.2,西南,陈静,已完成
PO-2025-00191,2025-05-29,南京化工材料,原材料,钢材,13,50.25,653.25,华南,王芳,处理中
PO-2025-00192,2025-09-30,广州包装制品,包装材料,纸箱,13,86.69,1126.97,华北,王芳,已完成
PO-2025-00193,2025-01-22,西安包装材料,包装材料,泡沫,266,100.28,26674.48,西北,杨洋,已完成
PO-2025-00194,2025-10-21,武汉工具设备,工具耗材,扳手,245,184.63,45234.35,东北,杨洋,已完成
PO-2025-00195,2025-06-16,武汉工具设备,工具耗材,切割片,337,86.45,29133.65,华东,赵磊,已完成
PO-2025-00196,2025-02-24,上海自动化设备,电子元器件,继电器,245,158.88,38925.6,华中,李华,已完成
PO-2025-00197,2025-06-23,苏州新材料科技,原材料,塑料颗粒,311,87.24,27131.64,华东,赵磊,待审批
PO-2025-00198,2025-04-10,苏州新材料科技,原材料,铜线,408,39.68,16189.44,西南,李华,已完成
PO-2025-00199,2025-03-16,广州包装制品,包装材料,缠绕膜,382,163.08,62296.56,西北,王芳,已完成
PO-2025-00200,2025-11-18,北京信达办公,办公用品,文件夹,98,110.22,10801.56,东北,李华,已完成
PO-2025-00201,2025-10-17,成都电气元件,电子元器件,传感器,396,132.17,52339.32,西南,周婷,已完成
PO-2025-00202,2025-02-04,重庆办公用品,办公用品,订书机,329,62.58,20588.82,西北,杨洋,已完成
PO-2025-00203,2025-02-07,成都电气元件,电子元器件,传感器,333,73.66,24528.78,华中,张明,已完成
PO-2025-00204,2025-02-16,北京信达办公,办公用品,笔,241,11.1,2675.1,华中,陈静,已完成
PO-2025-00205,2025-10-20,南京化工材料,原材料,橡胶,269,89.57,24094.33,西南,张明,已完成
PO-2025-00206,2025-08-19,重庆办公用品,办公用品,文件夹,174,113.14,19686.36,西南,王芳,已取消
PO-2025-00207,2025-12-29,深圳精密机械制造,机械零件,螺栓,375,23.59,8846.25,西北,王芳,已完成
PO-2025-00208,2025-05-25,成都电气元件,电子元器件,传感器,278,122.98,34188.44,华南,杨洋,已完成
PO-2025-00209,2025-11-28,武汉工具设备,工具耗材,焊锡丝,406,70.98,28817.88,西南,张明,处理中
PO-2025-00210,2025-12-03,广州包装制品,包装材料,纸箱,178,19.91,3543.98,西北,赵磊,已完成
PO-2025-00211,2025-06-08,南京化工材料,原材料,铝材,180,23.4,4212.0,西北,王芳,待审批
PO-2025-00212,2025-07-12,重庆办公用品,办公用品,订书机,349,74.92,26147.08,西南,李华,已完成
PO-2025-00213,2025-08-05,重庆办公用品,办公用品,墨盒,426,27.53,11727.78,西北,李华,已完成
PO-2025-00214,2025-09-06,杭州精密五金,机械零件,螺栓,19,81.76,1553.44,华南,刘强,已完成
PO-2025-00215,2025-10-04,苏州新材料科技,原材料,铝材,80,36.98,2958.4,华中,李华,已完成
PO-2025-00216,2025-03-20,西安包装材料,包装材料,封箱胶带,29,117.99,3421.71,东北,王芳,已完成
PO-2025-00217,2025-01-23,上海自动化设备,电子元器件,电容器,435,133.1,57898.5,西南,王芳,处理中
PO-2025-00218,2025-08-18,武汉工具设备,工具耗材,电钻头,356,145.32,51733.92,华北,陈静,处理中
PO-2025-00219,2025-04-10,苏州新材料科技,原材料,橡胶,132,68.61,9056.52,东北,周婷,待审批
PO-2025-00220,2025-07-15,广州包装制品,包装材料,珍珠棉,494,98.8,48807.2,华北,周婷,处理中
PO-2025-00221,2025-03-12,杭州精密五金,机械零件,导轨,224,208.9,46793.6,东北,刘强,处理中
PO-2025-00222,2025-09-22,北京信达办公,办公用品,A4纸,338,88.84,30027.92,华中,李华,处理中
PO-2025-00223,2025-03-17,深圳精密机械制造,机械零件,螺栓,52,169.19,8797.88,华中,周婷,待审批
PO-2025-00224,2025-01-14,武汉工具设备,工具耗材,扳手,494,182.55,90179.7,东北,周婷,待审批
PO-2025-00225,2025-07-11,武汉工具设备,工具耗材,扳手,212,102.89,21812.68,华南,赵磊,已取消
PO-2025-00226,2025-03-12,苏州新材料科技,原材料,钢材,173,195.84,33880.32,东北,杨洋,处理中
PO-2025-00227,2025-08-29,长沙恒达电子科技,电子元器件,集成电路,479,166.8,79897.2,西北,王芳,处理中
PO-2025-00228,2025-03-18,成都电气元件,电子元器件,继电器,12,208.89,2506.68,华东,陈静,已完成
PO-2025-00229,2025-03-04,杭州精密五金,机械零件,弹簧,321,116.55,37412.55,华东,陈静,已完成
PO-2025-00230,2025-09-13,长沙恒达电子科技,电子元器件,电容器,224,129.6,29030.4,西南,周婷,已完成
PO-2025-00231,2025-05-30,南京化工材料,原材料,橡胶,18,143.62,2585.16,西南,刘强,处理中
PO-2025-00232,2025-12-09,武汉工具设备,工具耗材,扳手,324,73.8,23911.2,西南,赵磊,已完成
PO-2025-00233,2025-08-29,深圳精密机械制造,机械零件,导轨,194,20.02,3883.88,西南,张明,已完成
PO-2025-00234,2025-02-04,长沙恒达电子科技,电子元器件,连接器,208,196.3,40830.4,华中,张明,已完成
PO-2025-00235,2025-06-30,广州包装制品,包装材料,泡沫,385,113.17,43570.45,华东,杨洋,已完成
PO-2025-00236,2025-09-03,杭州精密五金,机械零件,螺栓,426,140.77,59968.02,东北,周婷,已取消
PO-2025-00237,2025-04-14,重庆办公用品,办公用品,文件夹,425,28.79,12235.75,西北,周婷,已完成
PO-2025-00238,2025-10-06,长沙恒达电子科技,电子元器件,电容器,463,13.17,6097.71,华中,赵磊,已取消
PO-2025-00239,2025-01-25,成都电气元件,电子元器件,集成电路,28,174.68,4891.04,华南,陈静,已完成
PO-2025-00240,2025-08-14,重庆办公用品,办公用品,墨盒,149,26.93,4012.57,华中,赵磊,待审批
PO-2025-00241,2025-09-23,武汉工具设备,工具耗材,电钻头,105,101.76,10684.8,华北,杨洋,待审批
PO-2025-00242,2025-06-14,北京信达办公,办公用品,A4纸,382,79.0,30178.0,华北,王芳,已完成
PO-2025-00243,2025-08-07,深圳精密机械制造,机械零件,轴承,177,147.27,26066.79,华中,周婷,已完成
PO-2025-00244,2025-08-11,上海自动化设备,电子元器件,连接器,237,69.87,16559.19,华东,杨洋,已完成
PO-2025-00245,2025-12-14,北京信达办公,办公用品,订书机,415,170.86,70906.9,华东,赵磊,已完成
PO-2025-00246,2025-02-04,上海自动化设备,电子元器件,电阻器,83,161.97,13443.51,西北,周婷,已完成
PO-2025-00247,2025-12-14,苏州新材料科技,原材料,硅胶,197,79.4,15641.8,西南,张明,已完成
